household_id,date,site,value
HH0001,25/02/21,TradeDesk,2
HH0002,01/01/21,Facebook,3
HH0002,01/01/21,Spotify,4
HH0002,03/01/21,TradeDesk,2
HH0002,03/01/21,Spotify,5
HH0002,04/01/21,TradeDesk,2
HH0002,04/01/21,Facebook,3
HH0002,06/01/21,Facebook,3
HH0002,06/01/21,Spotify,4
HH0002,07/01/21,Spotify,3
HH0002,08/01/21,Facebook,3
HH0002,09/01/21,Spotify,6
HH0002,10/01/21,Facebook,3
HH0002,11/01/21,TradeDesk,2
HH0002,11/01/21,Facebook,3
HH0002,11/01/21,Spotify,5
HH0002,13/01/21,TradeDesk,3
HH0002,13/01/21,Facebook,3
HH0002,13/01/21,Spotify,5
HH0002,14/01/21,TradeDesk,3
HH0002,14/01/21,Spotify,4
HH0002,15/01/21,Facebook,3
HH0002,16/01/21,TradeDesk,2
HH0002,16/01/21,Spotify,4
HH0002,17/01/21,TradeDesk,2
HH0002,17/01/21,Facebook,3
HH0002,18/01/21,TradeDesk,1
HH0002,18/01/21,Spotify,5
HH0002,20/01/21,Facebook,3
HH0002,21/01/21,Facebook,3
HH0002,22/01/21,TradeDesk,2
HH0002,25/01/21,Facebook,3
HH0002,25/01/21,Spotify,6
HH0002,26/01/21,Spotify,5
HH0002,28/01/21,Facebook,3
HH0002,28/01/21,Spotify,6
HH0002,30/01/21,Facebook,3
HH0002,31/01/21,Facebook,3
HH0002,31/01/21,Spotify,7
HH0002,01/02/21,Spotify,6
HH0002,04/02/21,Spotify,4
HH0002,05/02/21,Facebook,3
HH0002,06/02/21,Spotify,5
HH0002,07/02/21,TradeDesk,3
HH0002,07/02/21,Spotify,6
HH0002,08/02/21,Spotify,6
HH0002,10/02/21,TradeDesk,2
HH0002,10/02/21,Facebook,3
HH0002,10/02/21,Spotify,5
HH0002,11/02/21,Spotify,5
HH0002,12/02/21,Facebook,3
HH0002,13/02/21,TradeDesk,1
HH0002,13/02/21,Facebook,3
HH0002,15/02/21,Facebook,3
HH0002,16/02/21,TradeDesk,1
HH0002,16/02/21,Facebook,3
HH0002,20/02/21,TradeDesk,2
HH0002,20/02/21,Facebook,3
HH0002,20/02/21,Spotify,7
HH0002,21/02/21,TradeDesk,2
HH0002,22/02/21,Facebook,3
HH0002,23/02/21,TradeDesk,2
HH0002,23/02/21,Facebook,3
HH0002,24/02/21,Facebook,2
HH0002,25/02/21,TradeDesk,3
HH0003,01/01/21,TradeDesk,2
HH0003,03/01/21,TradeDesk,2
HH0003,03/01/21,Facebook,3
HH0003,03/01/21,Spotify,7
HH0003,04/01/21,Spotify,5
HH0003,05/01/21,Facebook,3
HH0003,06/01/21,Spotify,5
HH0003,09/01/21,TradeDesk,1
HH0003,10/01/21,Spotify,5
HH0003,11/01/21,Spotify,6
HH0003,13/01/21,Facebook,3
HH0003,13/01/21,Spotify,6
HH0003,15/01/21,Spotify,7
HH0003,16/01/21,Spotify,6
HH0003,17/01/21,Facebook,3
HH0003,18/01/21,Facebook,3
HH0003,18/01/21,Spotify,6
HH0003,19/01/21,TradeDesk,2
HH0003,20/01/21,TradeDesk,2
HH0003,20/01/21,Spotify,4
HH0003,21/01/21,TradeDesk,2
HH0003,21/01/21,Facebook,3
HH0003,21/01/21,Spotify,4
HH0003,22/01/21,TradeDesk,3
HH0003,22/01/21,Spotify,5
HH0003,24/01/21,Spotify,5
HH0003,25/01/21,Spotify,5
HH0003,26/01/21,Facebook,3
HH0003,26/01/21,Spotify,6
HH0003,27/01/21,TradeDesk,2
HH0003,28/01/21,Spotify,5
HH0003,29/01/21,Facebook,3
HH0003,30/01/21,Facebook,3
HH0003,30/01/21,Spotify,4
HH0003,01/02/21,Spotify,5
HH0003,02/02/21,Spotify,4
HH0003,04/02/21,TradeDesk,2
HH0003,04/02/21,Spotify,3
HH0003,07/02/21,TradeDesk,2
HH0003,07/02/21,Facebook,3
HH0003,08/02/21,TradeDesk,2
HH0003,08/02/21,Spotify,5
HH0003,09/02/21,Spotify,5
HH0003,10/02/21,TradeDesk,2
HH0003,11/02/21,TradeDesk,2
HH0003,11/02/21,Spotify,3
HH0003,12/02/21,Facebook,3
HH0003,13/02/21,Facebook,3
HH0003,13/02/21,Spotify,6
HH0003,14/02/21,Facebook,3
HH0003,17/02/21,Facebook,3
HH0003,18/02/21,Facebook,3
HH0003,21/02/21,Spotify,6
HH0003,22/02/21,TradeDesk,2
HH0003,22/02/21,Facebook,3
HH0003,23/02/21,TradeDesk,2
HH0003,24/02/21,TradeDesk,2
HH0003,24/02/21,Facebook,3
HH0003,24/02/21,Spotify,4
HH0003,25/02/21,Spotify,3
HH0003,26/02/21,Spotify,6
HH0004,01/01/21,Facebook,3
HH0004,02/01/21,TradeDesk,2
HH0004,02/01/21,Spotify,5
HH0004,05/01/21,Facebook,3
HH0004,05/01/21,Spotify,4
HH0004,06/01/21,Spotify,5
HH0004,07/01/21,TradeDesk,2
HH0004,08/01/21,TradeDesk,2
HH0004,08/01/21,Facebook,3
HH0004,08/01/21,Spotify,4
HH0004,09/01/21,Facebook,3
HH0004,10/01/21,TradeDesk,1
HH0004,11/01/21,Spotify,4
HH0004,12/01/21,Spotify,5
HH0004,18/01/21,TradeDesk,1
HH0004,18/01/21,Facebook,3
HH0004,18/01/21,Spotify,4
HH0004,20/01/21,Facebook,3
HH0004,21/01/21,TradeDesk,3
HH0004,22/01/21,Facebook,3
HH0004,24/01/21,TradeDesk,3
HH0004,24/01/21,Spotify,5
HH0004,25/01/21,Facebook,3
HH0004,25/01/21,Spotify,6
HH0004,27/01/21,Facebook,3
HH0004,27/01/21,Spotify,5
HH0004,02/02/21,TradeDesk,3
HH0004,03/02/21,TradeDesk,2
HH0004,04/02/21,Facebook,3
HH0004,05/02/21,TradeDesk,2
HH0004,06/02/21,Facebook,3
HH0004,07/02/21,Facebook,4
HH0004,08/02/21,Facebook,3
HH0004,09/02/21,TradeDesk,3
HH0004,11/02/21,TradeDesk,1
HH0004,12/02/21,Spotify,4
HH0004,13/02/21,TradeDesk,1
HH0004,14/02/21,TradeDesk,1
HH0004,16/02/21,Spotify,5
HH0004,17/02/21,TradeDesk,2
HH0004,18/02/21,TradeDesk,3
HH0004,18/02/21,Facebook,3
HH0004,19/02/21,Facebook,3
HH0004,19/02/21,Spotify,4
HH0004,20/02/21,Facebook,2
HH0004,20/02/21,Spotify,5
HH0004,22/02/21,Spotify,5
HH0004,25/02/21,TradeDesk,2
HH0004,25/02/21,Facebook,3
HH0005,01/01/21,TradeDesk,2
HH0005,01/01/21,Facebook,3
HH0005,03/01/21,TradeDesk,3
HH0005,05/01/21,Facebook,3
HH0005,07/01/21,Spotify,5
HH0005,08/01/21,Facebook,3
HH0005,09/01/21,Spotify,6
HH0005,10/01/21,TradeDesk,3
HH0005,11/01/21,Facebook,3
HH0005,12/01/21,Facebook,3
HH0005,13/01/21,Facebook,3
HH0005,14/01/21,TradeDesk,2
HH0005,14/01/21,Facebook,3
HH0005,14/01/21,Spotify,4
HH0005,16/01/21,Spotify,5
HH0005,17/01/21,TradeDesk,3
HH0005,17/01/21,Facebook,3
HH0005,17/01/21,Spotify,4
HH0005,18/01/21,TradeDesk,3
HH0005,20/01/21,TradeDesk,1
HH0005,20/01/21,Facebook,3
HH0005,20/01/21,Spotify,4
HH0005,21/01/21,Spotify,4
HH0005,22/01/21,TradeDesk,1
HH0005,22/01/21,Facebook,3
HH0005,23/01/21,Spotify,4
HH0005,24/01/21,Spotify,3
HH0005,25/01/21,Facebook,3
HH0005,26/01/21,TradeDesk,2
HH0005,29/01/21,Spotify,5
HH0005,30/01/21,Facebook,3
HH0005,30/01/21,Spotify,6
HH0005,31/01/21,TradeDesk,3
HH0005,31/01/21,Spotify,7
HH0005,01/02/21,Facebook,2
HH0005,02/02/21,Spotify,5
HH0005,03/02/21,TradeDesk,2
HH0005,03/02/21,Facebook,3
HH0005,04/02/21,TradeDesk,3
HH0005,04/02/21,Facebook,3
HH0005,07/02/21,TradeDesk,2
HH0005,07/02/21,Facebook,3
HH0005,07/02/21,Spotify,7
HH0005,08/02/21,Facebook,3
HH0005,08/02/21,Spotify,6
HH0005,10/02/21,Facebook,3
HH0005,10/02/21,Spotify,3
HH0005,11/02/21,TradeDesk,2
HH0005,12/02/21,TradeDesk,3
HH0005,13/02/21,Facebook,3
HH0005,13/02/21,Spotify,8
HH0005,14/02/21,TradeDesk,2
HH0005,14/02/21,Facebook,3
HH0005,16/02/21,TradeDesk,2
HH0005,17/02/21,TradeDesk,4
HH0005,17/02/21,Spotify,6
HH0005,18/02/21,Spotify,5
HH0005,19/02/21,Spotify,4
HH0005,20/02/21,Facebook,3
HH0005,20/02/21,Spotify,5
HH0005,21/02/21,Facebook,3
HH0005,22/02/21,Facebook,3
HH0005,22/02/21,Spotify,5
HH0005,23/02/21,TradeDesk,1
HH0005,24/02/21,Facebook,3
HH0005,24/02/21,Spotify,5
HH0005,25/02/21,TradeDesk,2
HH0005,26/02/21,Spotify,5
HH0006,02/01/21,TradeDesk,1
HH0006,03/01/21,TradeDesk,3
HH0006,04/01/21,TradeDesk,1
HH0006,04/01/21,Spotify,5
HH0006,07/01/21,Facebook,4
HH0006,07/01/21,Spotify,5
HH0006,08/01/21,TradeDesk,3
HH0006,10/01/21,Spotify,7
HH0006,11/01/21,TradeDesk,3
HH0006,11/01/21,Spotify,6
HH0006,12/01/21,Facebook,4
HH0006,13/01/21,Spotify,5
HH0006,14/01/21,TradeDesk,1
HH0006,14/01/21,Facebook,3
HH0006,14/01/21,Spotify,5
HH0006,15/01/21,TradeDesk,2
HH0006,15/01/21,Facebook,3
HH0006,17/01/21,TradeDesk,2
HH0006,18/01/21,TradeDesk,3
HH0006,20/01/21,TradeDesk,1
HH0006,20/01/21,Spotify,5
HH0006,21/01/21,TradeDesk,2
HH0006,21/01/21,Spotify,5
HH0006,22/01/21,Spotify,6
HH0006,23/01/21,Spotify,5
HH0006,24/01/21,Facebook,3
HH0006,24/01/21,Spotify,5
HH0006,25/01/21,Spotify,4
HH0006,26/01/21,Facebook,3
HH0006,28/01/21,Spotify,7
HH0006,29/01/21,Facebook,3
HH0006,30/01/21,Spotify,6
HH0006,31/01/21,TradeDesk,2
HH0006,31/01/21,Spotify,5
HH0006,01/02/21,Facebook,3
HH0006,01/02/21,Spotify,6
HH0006,02/02/21,TradeDesk,2
HH0006,02/02/21,Facebook,3
HH0006,02/02/21,Spotify,5
HH0006,04/02/21,Spotify,5
HH0006,05/02/21,TradeDesk,2
HH0006,05/02/21,Spotify,6
HH0006,07/02/21,TradeDesk,2
HH0006,08/02/21,TradeDesk,2
HH0006,11/02/21,TradeDesk,3
HH0006,11/02/21,Spotify,4
HH0006,12/02/21,TradeDesk,1
HH0006,13/02/21,Spotify,6
HH0006,14/02/21,TradeDesk,2
HH0006,16/02/21,TradeDesk,2
HH0006,16/02/21,Spotify,3
HH0006,17/02/21,Spotify,5
HH0006,18/02/21,TradeDesk,2
HH0006,18/02/21,Spotify,6
HH0006,20/02/21,TradeDesk,3
HH0006,22/02/21,Spotify,6
HH0006,23/02/21,TradeDesk,2
HH0006,24/02/21,TradeDesk,3
HH0006,24/02/21,Facebook,3
HH0006,24/02/21,Spotify,7
HH0006,25/02/21,TradeDesk,1
HH0006,25/02/21,Spotify,6
HH0006,26/02/21,Spotify,6
HH0007,02/01/21,Spotify,5
HH0007,03/01/21,Spotify,5
HH0007,04/01/21,Spotify,5
HH0007,05/01/21,Spotify,4
HH0007,06/01/21,Spotify,2
HH0007,07/01/21,TradeDesk,2
HH0007,08/01/21,TradeDesk,2
HH0007,09/01/21,TradeDesk,2
HH0007,09/01/21,Spotify,4
HH0007,11/01/21,Facebook,3
HH0007,11/01/21,Spotify,6
HH0007,12/01/21,TradeDesk,2
HH0007,12/01/21,Spotify,5
HH0007,13/01/21,Spotify,4
HH0007,16/01/21,Facebook,3
HH0007,16/01/21,Spotify,3
HH0007,17/01/21,Facebook,3
HH0007,17/01/21,Spotify,4
HH0007,18/01/21,TradeDesk,2
HH0007,18/01/21,Spotify,7
HH0007,19/01/21,TradeDesk,2
HH0007,19/01/21,Facebook,3
HH0007,21/01/21,TradeDesk,1
HH0007,21/01/21,Facebook,3
HH0007,24/01/21,TradeDesk,2
HH0007,24/01/21,Spotify,4
HH0007,26/01/21,TradeDesk,1
HH0007,28/01/21,TradeDesk,2
HH0007,28/01/21,Spotify,4
HH0007,30/01/21,TradeDesk,1
HH0007,31/01/21,Facebook,3
HH0007,03/02/21,Spotify,5
HH0007,04/02/21,TradeDesk,2
HH0007,04/02/21,Facebook,3
HH0007,05/02/21,Facebook,3
HH0007,07/02/21,Spotify,3
HH0007,08/02/21,Spotify,4
HH0007,10/02/21,Facebook,3
HH0007,11/02/21,TradeDesk,2
HH0007,11/02/21,Facebook,4
HH0007,12/02/21,Facebook,3
HH0007,16/02/21,TradeDesk,2
HH0007,16/02/21,Facebook,3
HH0007,16/02/21,Spotify,4
HH0007,17/02/21,Facebook,3
HH0007,19/02/21,TradeDesk,2
HH0007,20/02/21,Spotify,6
HH0007,21/02/21,Spotify,5
HH0007,22/02/21,TradeDesk,2
HH0007,23/02/21,Spotify,6
HH0007,25/02/21,TradeDesk,2
HH0007,26/02/21,TradeDesk,3
HH0007,26/02/21,Facebook,3
HH0008,01/01/21,Facebook,3
HH0008,02/01/21,TradeDesk,1
HH0008,02/01/21,Facebook,4
HH0008,02/01/21,Spotify,6
HH0008,04/01/21,Facebook,3
HH0008,05/01/21,TradeDesk,2
HH0008,05/01/21,Facebook,3
HH0008,05/01/21,Spotify,6
HH0008,06/01/21,Facebook,3
HH0008,06/01/21,Spotify,4
HH0008,07/01/21,TradeDesk,2
HH0008,07/01/21,Facebook,3
HH0008,07/01/21,Spotify,4
HH0008,08/01/21,Facebook,3
HH0008,10/01/21,TradeDesk,3
HH0008,10/01/21,Facebook,3
HH0008,11/01/21,Facebook,3
HH0008,11/01/21,Spotify,6
HH0008,12/01/21,Spotify,5
HH0008,13/01/21,TradeDesk,2
HH0008,13/01/21,Spotify,4
HH0008,14/01/21,TradeDesk,1
HH0008,15/01/21,Spotify,6
HH0008,16/01/21,Facebook,3
HH0008,17/01/21,Facebook,3
HH0008,17/01/21,Spotify,6
HH0008,18/01/21,Spotify,5
HH0008,19/01/21,TradeDesk,1
HH0008,19/01/21,Facebook,3
HH0008,20/01/21,Facebook,3
HH0008,20/01/21,Spotify,6
HH0008,21/01/21,TradeDesk,3
HH0008,21/01/21,Facebook,3
HH0008,22/01/21,TradeDesk,2
HH0008,22/01/21,Spotify,5
HH0008,24/01/21,TradeDesk,1
HH0008,26/01/21,Facebook,3
HH0008,26/01/21,Spotify,6
HH0008,27/01/21,TradeDesk,2
HH0008,28/01/21,TradeDesk,2
HH0008,29/01/21,Spotify,5
HH0008,31/01/21,TradeDesk,2
HH0008,31/01/21,Spotify,5
HH0008,01/02/21,TradeDesk,2
HH0008,02/02/21,Spotify,5
HH0008,04/02/21,TradeDesk,1
HH0008,04/02/21,Spotify,5
HH0008,05/02/21,TradeDesk,2
HH0008,05/02/21,Facebook,3
HH0008,05/02/21,Spotify,4
HH0008,06/02/21,Facebook,3
HH0008,08/02/21,Spotify,5
HH0008,09/02/21,TradeDesk,2
HH0008,09/02/21,Spotify,4
HH0008,10/02/21,Spotify,5
HH0008,11/02/21,TradeDesk,3
HH0008,11/02/21,Spotify,4
HH0008,13/02/21,Facebook,3
HH0008,16/02/21,TradeDesk,1
HH0008,16/02/21,Spotify,6
HH0008,17/02/21,TradeDesk,1
HH0008,17/02/21,Facebook,3
HH0008,18/02/21,Facebook,3
HH0008,18/02/21,Spotify,7
HH0008,19/02/21,Facebook,4
HH0008,19/02/21,Spotify,5
HH0008,22/02/21,TradeDesk,1
HH0008,22/02/21,Facebook,3
HH0008,22/02/21,Spotify,6
HH0008,23/02/21,TradeDesk,2
HH0008,24/02/21,TradeDesk,2
HH0008,24/02/21,Facebook,3
HH0008,25/02/21,TradeDesk,1
HH0008,25/02/21,Facebook,3
HH0009,01/01/21,Spotify,5
HH0009,02/01/21,Spotify,4
HH0009,03/01/21,TradeDesk,2
HH0009,03/01/21,Facebook,3
HH0009,04/01/21,TradeDesk,3
HH0009,04/01/21,Spotify,4
HH0009,05/01/21,Facebook,3
HH0009,05/01/21,Spotify,3
HH0009,08/01/21,TradeDesk,3
HH0009,08/01/21,Facebook,3
HH0009,09/01/21,TradeDesk,2
HH0009,09/01/21,Facebook,3
HH0009,09/01/21,Spotify,4
HH0009,12/01/21,Spotify,2
HH0009,13/01/21,TradeDesk,1
HH0009,16/01/21,TradeDesk,2
HH0009,16/01/21,Facebook,3
HH0009,17/01/21,Facebook,3
HH0009,19/01/21,Facebook,3
HH0009,20/01/21,Facebook,3
HH0009,22/01/21,Spotify,5
HH0009,24/01/21,Spotify,3
HH0009,25/01/21,TradeDesk,1
HH0009,25/01/21,Spotify,5
HH0009,26/01/21,TradeDesk,1
HH0009,29/01/21,Spotify,6
HH0009,30/01/21,TradeDesk,3
HH0009,01/02/21,TradeDesk,2
HH0009,01/02/21,Facebook,3
HH0009,04/02/21,Spotify,5
HH0009,07/02/21,Spotify,3
HH0009,09/02/21,TradeDesk,3
HH0009,09/02/21,Facebook,3
HH0009,10/02/21,TradeDesk,2
HH0009,11/02/21,Facebook,3
HH0009,11/02/21,Spotify,6
HH0009,12/02/21,TradeDesk,2
HH0009,12/02/21,Facebook,3
HH0009,13/02/21,Spotify,6
HH0009,14/02/21,Spotify,5
HH0009,15/02/21,Facebook,3
HH0009,16/02/21,Spotify,5
HH0009,17/02/21,Facebook,3
HH0009,18/02/21,Facebook,3
HH0009,18/02/21,Spotify,7
HH0009,19/02/21,Spotify,5
HH0009,20/02/21,TradeDesk,2
HH0009,21/02/21,Spotify,7
HH0009,23/02/21,Spotify,6
HH0009,24/02/21,TradeDesk,2
HH0009,25/02/21,Spotify,5
HH0009,26/02/21,TradeDesk,2
HH0010,01/01/21,Facebook,3
HH0010,01/01/21,Spotify,5
HH0010,02/01/21,Facebook,3
HH0010,03/01/21,Facebook,3
HH0010,04/01/21,TradeDesk,2
HH0010,05/01/21,Spotify,4
HH0010,06/01/21,TradeDesk,3
HH0010,07/01/21,TradeDesk,2
HH0010,07/01/21,Facebook,3
HH0010,10/01/21,TradeDesk,1
HH0010,11/01/21,Facebook,3
HH0010,13/01/21,Facebook,3
HH0010,13/01/21,Spotify,6
HH0010,14/01/21,TradeDesk,1
HH0010,14/01/21,Spotify,6
HH0010,15/01/21,Spotify,4
HH0010,16/01/21,TradeDesk,2
HH0010,20/01/21,TradeDesk,4
HH0010,21/01/21,TradeDesk,2
HH0010,23/01/21,TradeDesk,2
HH0010,23/01/21,Spotify,3
HH0010,24/01/21,TradeDesk,2
HH0010,24/01/21,Facebook,3
HH0010,24/01/21,Spotify,5
HH0010,25/01/21,TradeDesk,2
HH0010,26/01/21,TradeDesk,3
HH0010,27/01/21,TradeDesk,3
HH0010,28/01/21,Spotify,6
HH0010,29/01/21,TradeDesk,2
HH0010,30/01/21,Spotify,3
HH0010,31/01/21,TradeDesk,1
HH0010,31/01/21,Spotify,5
HH0010,01/02/21,TradeDesk,3
HH0010,02/02/21,TradeDesk,3
HH0010,03/02/21,TradeDesk,2
HH0010,03/02/21,Facebook,4
HH0010,04/02/21,Spotify,4
HH0010,05/02/21,Facebook,3
HH0010,05/02/21,Spotify,7
HH0010,06/02/21,TradeDesk,1
HH0010,06/02/21,Spotify,6
HH0010,08/02/21,TradeDesk,3
HH0010,08/02/21,Facebook,3
HH0010,09/02/21,Spotify,5
HH0010,10/02/21,TradeDesk,2
HH0010,11/02/21,TradeDesk,2
HH0010,13/02/21,TradeDesk,2
HH0010,13/02/21,Spotify,5
HH0010,15/02/21,TradeDesk,1
HH0010,17/02/21,Spotify,5
HH0010,18/02/21,TradeDesk,2
HH0010,19/02/21,TradeDesk,3
HH0010,21/02/21,TradeDesk,2
HH0010,21/02/21,Spotify,4
HH0010,22/02/21,Facebook,3
HH0010,23/02/21,Facebook,3
HH0010,23/02/21,Spotify,6
HH0010,24/02/21,Spotify,4
HH0010,25/02/21,TradeDesk,2
HH0010,26/02/21,TradeDesk,1
HH0011,01/01/21,Facebook,3
HH0011,02/01/21,Facebook,3
HH0011,03/01/21,TradeDesk,3
HH0011,03/01/21,Facebook,3
HH0011,03/01/21,Spotify,5
HH0011,04/01/21,TradeDesk,3
HH0011,04/01/21,Facebook,3
HH0011,05/01/21,Facebook,3
HH0011,05/01/21,Spotify,4
HH0011,06/01/21,TradeDesk,2
HH0011,07/01/21,TradeDesk,2
HH0011,07/01/21,Facebook,3
HH0011,08/01/21,Facebook,3
HH0011,08/01/21,Spotify,4
HH0011,09/01/21,Facebook,3
HH0011,09/01/21,Spotify,6
HH0011,10/01/21,TradeDesk,2
HH0011,11/01/21,Spotify,5
HH0011,12/01/21,Facebook,4
HH0011,12/01/21,Spotify,6
HH0011,13/01/21,TradeDesk,1
HH0011,14/01/21,Spotify,4
HH0011,15/01/21,TradeDesk,2
HH0011,16/01/21,TradeDesk,2
HH0011,16/01/21,Facebook,3
HH0011,16/01/21,Spotify,4
HH0011,17/01/21,TradeDesk,2
HH0011,17/01/21,Facebook,3
HH0011,19/01/21,Facebook,3
HH0011,19/01/21,Spotify,6
HH0011,20/01/21,Spotify,4
HH0011,21/01/21,Facebook,3
HH0011,22/01/21,Facebook,3
HH0011,23/01/21,TradeDesk,2
HH0011,23/01/21,Facebook,3
HH0011,23/01/21,Spotify,6
HH0011,24/01/21,TradeDesk,1
HH0011,24/01/21,Facebook,4
HH0011,25/01/21,TradeDesk,2
HH0011,26/01/21,Spotify,5
HH0011,27/01/21,Spotify,4
HH0011,28/01/21,TradeDesk,3
HH0011,28/01/21,Facebook,3
HH0011,29/01/21,Spotify,6
HH0011,31/01/21,Spotify,5
HH0011,01/02/21,Facebook,3
HH0011,01/02/21,Spotify,4
HH0011,03/02/21,TradeDesk,2
HH0011,04/02/21,Spotify,6
HH0011,07/02/21,TradeDesk,2
HH0011,07/02/21,Spotify,5
HH0011,08/02/21,Facebook,3
HH0011,09/02/21,Spotify,5
HH0011,11/02/21,TradeDesk,1
HH0011,12/02/21,TradeDesk,2
HH0011,12/02/21,Facebook,3
HH0011,12/02/21,Spotify,6
HH0011,13/02/21,Spotify,5
HH0011,14/02/21,Spotify,6
HH0011,15/02/21,Spotify,4
HH0011,16/02/21,TradeDesk,2
HH0011,16/02/21,Facebook,3
HH0011,16/02/21,Spotify,5
HH0011,17/02/21,TradeDesk,2
HH0011,17/02/21,Facebook,3
HH0011,18/02/21,TradeDesk,2
HH0011,18/02/21,Spotify,4
HH0011,20/02/21,TradeDesk,2
HH0011,20/02/21,Facebook,3
HH0011,20/02/21,Spotify,4
HH0011,21/02/21,Spotify,5
HH0011,23/02/21,TradeDesk,3
HH0011,23/02/21,Facebook,4
HH0011,23/02/21,Spotify,5
HH0011,24/02/21,Spotify,6
HH0011,25/02/21,TradeDesk,3
HH0012,01/01/21,Spotify,6
HH0012,02/01/21,TradeDesk,3
HH0012,03/01/21,TradeDesk,2
HH0012,03/01/21,Spotify,5
HH0012,05/01/21,Spotify,4
HH0012,07/01/21,TradeDesk,2
HH0012,08/01/21,Facebook,3
HH0012,10/01/21,TradeDesk,2
HH0012,10/01/21,Spotify,6
HH0012,11/01/21,Facebook,3
HH0012,11/01/21,Spotify,5
HH0012,13/01/21,Facebook,3
HH0012,14/01/21,Facebook,3
HH0012,14/01/21,Spotify,7
HH0012,15/01/21,TradeDesk,2
HH0012,15/01/21,Facebook,3
HH0012,15/01/21,Spotify,5
HH0012,17/01/21,Facebook,3
HH0012,18/01/21,Facebook,3
HH0012,18/01/21,Spotify,5
HH0012,19/01/21,TradeDesk,2
HH0012,20/01/21,TradeDesk,1
HH0012,20/01/21,Facebook,3
HH0012,20/01/21,Spotify,5
HH0012,21/01/21,Facebook,3
HH0012,22/01/21,TradeDesk,2
HH0012,22/01/21,Facebook,3
HH0012,23/01/21,TradeDesk,1
HH0012,27/01/21,TradeDesk,2
HH0012,27/01/21,Facebook,3
HH0012,28/01/21,Facebook,2
HH0012,29/01/21,Spotify,3
HH0012,30/01/21,Spotify,4
HH0012,31/01/21,TradeDesk,2
HH0012,31/01/21,Spotify,5
HH0012,02/02/21,TradeDesk,2
HH0012,02/02/21,Facebook,3
HH0012,03/02/21,Spotify,7
HH0012,05/02/21,TradeDesk,1
HH0012,06/02/21,Facebook,3
HH0012,06/02/21,Spotify,5
HH0012,07/02/21,TradeDesk,2
HH0012,07/02/21,Facebook,3
HH0012,07/02/21,Spotify,4
HH0012,08/02/21,Facebook,3
HH0012,08/02/21,Spotify,5
HH0012,09/02/21,Facebook,3
HH0012,10/02/21,TradeDesk,4
HH0012,10/02/21,Facebook,3
HH0012,10/02/21,Spotify,3
HH0012,11/02/21,Spotify,4
HH0012,12/02/21,Facebook,3
HH0012,12/02/21,Spotify,5
HH0012,13/02/21,TradeDesk,3
HH0012,18/02/21,Spotify,3
HH0012,19/02/21,TradeDesk,1
HH0012,19/02/21,Spotify,6
HH0012,21/02/21,Spotify,5
HH0012,22/02/21,Spotify,6
HH0012,23/02/21,TradeDesk,2
HH0012,25/02/21,TradeDesk,3
HH0012,25/02/21,Spotify,5
HH0012,26/02/21,Facebook,3
HH0013,01/01/21,Facebook,3
HH0013,01/01/21,Spotify,6
